x,y
0.0,4.4743521092174054
0.898876404494382,8.606576314520506
1.797752808988764,-0.7189869385954539
2.696629213483146,6.804932326883341
3.595505617977528,3.9691269762832193
4.49438202247191,3.876786639143355
5.393258426966292,3.7337543581700805
6.2921348314606735,0.014369743211038344
7.191011235955056,4.989207670492502
8.089887640449438,13.113987381964828
8.98876404494382,4.505335073878485
9.887640449438202,4.6778188427632035
10.786516853932584,3.4890785001192857
11.685393258426966,0.45711260533596887
12.584269662921347,0.3898263980091805
13.48314606741573,-2.6470056391203283
14.382022471910112,0.30654628651834925
15.280898876404494,2.3241808219380244
16.179775280898877,-1.5457188583692392
17.078651685393258,2.1038715907969783
17.97752808988764,-0.49631165276055333
18.876404494382022,-2.1512348337530867
19.775280898876403,-0.6006810624485004
20.674157303370787,2.906219775658718
21.573033707865168,1.1278580168859302
22.47191011235955,1.5237505731809167
23.370786516853933,-4.150916511125076
24.269662921348313,1.837163415985255
25.168539325842694,-0.1523803016304841
26.06741573033708,-5.136207959306412
26.96629213483146,-1.5797887974826295
27.865168539325843,-3.7441040599893824
28.764044943820224,-1.9764050630885903
29.662921348314605,3.7533608412485187
30.56179775280899,-3.4709863923713034
31.46067415730337,-4.283007651384804
32.359550561797754,-5.6940312727568685
33.258426966292134,-4.045797853457461
34.157303370786515,-4.568020490876201
35.056179775280896,1.5793695588807886
35.95505617977528,-2.0269138448500206
36.853932584269664,-9.311846607436538
37.752808988764045,-6.1387006760348
38.651685393258425,-8.176312745215997
39.550561797752806,-8.644084151440431
40.44943820224719,-1.7995378681746415
41.348314606741575,-5.220802148937135
42.247191011235955,0.6900229626548571
43.146067415730336,-6.288335472923341
44.04494382022472,-1.6803631866564634
44.9438202247191,-8.15460243608128
45.842696629213485,-8.114862525824844
46.741573033707866,-4.483025493784242
47.640449438202246,-2.642762506814663
48.53932584269663,-6.323613968186461
49.43820224719101,-12.168371156960884
50.33707865168539,-9.380967063298053
51.235955056179776,-4.624680313870684
52.13483146067416,-4.729890534867136
53.03370786516854,-9.786824300364337
53.93258426966292,-5.851888270771453
54.8314606741573,-6.865214856529846
55.73033707865169,-9.86722612114489
56.62921348314607,-3.8345432478922663
57.52808988764045,-10.176865344774175
58.42696629213483,-8.445862824881168
59.32584269662921,-15.944838264341707
60.2247191011236,-2.408094493395722
61.12359550561798,-11.160323331464259
62.02247191011236,-15.567775086361982
62.92134831460674,-2.1987337563989886
63.82022471910112,-7.747718916469495
64.71910112359551,-10.154188020658614
65.61797752808988,-15.948238359963113
66.51685393258427,-10.868186909090113
67.41573033707866,-6.455989542074077
68.31460674157303,-11.51849723549119
69.21348314606742,-11.776997971930797
70.11235955056179,-14.722076987407881
71.01123595505618,-12.143566741329856
71.91011235955057,-10.618793092184308
72.80898876404494,-7.456961537785476
73.70786516853933,-10.863259592925832
74.6067415730337,-17.092895975497722
75.50561797752809,-12.563102689780514
76.40449438202246,-14.120052605019657
77.30337078651685,-11.27291247739257
78.20224719101124,-14.937745240946334
79.10112359550561,-13.732719581297815
80.0,-22.591745537413626
50.0,-40.0
80.0,1.2801818753525105
90.0,-20.248166107285194
100.0,-15.985801474293167
110.0,-3.540820244872494
120.0,-19.05215833106395
70.0,-38.693459588455475
81.25,-24.741903243268005
92.5,-28.174298999867442
103.75,-37.96262017898556
115.0,-68.96479808895783
